UniqueCount	AmbigCount
250	0
0	207
18	148
0	147
0	106
0	1
1	44
19	44
2	881
23	881
1100	0
208	4490
0	4861
2	4207
70	309
0	309
0	1569
0	1272
4	1452
4156	0
11	346
903	346
34	53
0	53
1341	0
10	0
0	1285
0	1203
3	1013
0	3
0	3
0	3
3	361
104	361
329	0
385	0
0	27
0	27
31	0
68	0
31	502
0	502
0	497
0	467
77	0
255	0
467	0
64	0
222	0
0	0
214	0
776	0
0	0
0	0
2	11291
0	11785
0	11463
0	0
3	115
0	115
380	0
0	1
0	1
0	1
127	0
83	0
6	1
1	0
0	1
6	76
0	76
0	0
0	0
6	181
0	181
2493	1
538	0
0	0
0	3
0	3
0	0
768	0
2	8
0	8
57	831
3	831
0	596
182	0
815	0
0	196
0	187
0	175
2	65
0	0
385	1104
4	1104
2349	0
3	2
0	2
0	2
3	58
0	58
142	1816
0	1815
3	0
293	0
1120	0
2659	7360
0	7360
846	0
19	63
0	63
149	354
0	354
3	13
0	13
3	17
0	17
1	0
0	118
5	113
3	112
7	0
0	26
0	22
0	24
0	14
666	0
24	0
634	0
22	0
356	0
9	72
0	85
0	69
0	50
0	50
0	99
0	94
4	92
382	0
158	0
4671	0
528	639
0	639
10	0
458	0
194	0
26	0
0	257
0	160
0	220
0	123
0	167
0	42
0	43
0	39
393	0
0	683
0	375
0	543
2	261
0	358
2	310
0	279
0	314
349	0
149	0
0	578
0	627
0	567
0	534
2334	0
525	0
0	0
324	0
273	0
1	238
0	257
0	232
5	224
0	241
0	197
65	280
0	280
2	206
8	0
0	0
92	0
142	0
23	35
4	35
0	0
3	0
60	4248
16	4227
0	4317
95	494
0	494
4	489
94	437
2	437
705	0
440	910
12	910
0	874
683	0
1247	0
42	417
0	387
0	388
0	215
2080	0
31	25
5	25
444	2
65	0
0	13
0	13
0	1749
0	1966
2	1925
0	1326
0	1062
0	0
177	0
11	0
1	0
208	0
158	226
0	225
1515	1
179	0
132	0
1122	0
3	14
0	14
0	0
454	0
363	1
15	238
0	238
14	0
0	215
0	215
0	186
124	0
107	0
54	0
45	63
0	63
5	0
358	0
95	0
0	6
0	6
0	0
0	0
1	0
36	0
3	10
0	10
1110	0
0	0
8019	1
0	0
232	0
0	3
0	3
0	0
0	0
4916	0
10	0
0	0
0	0
0	0
0	0
0	272
0	118
1	266
0	0
1	13
12	13
810	1
1	34
0	34
646	0
3	30
0	31
0	43
0	42
0	42
0	41
0	33
77	0
0	301
46	301
11	0
23	0
0	0
188	0
1271	0
181	0
88	123
0	123
16	0
9168	0
0	0
94	0
340	0
2	0
312	0
676	0
0	0
369	1064
7	1064
19	1064
5	799
0	904
11	848
97	829
1	694
36	140
0	140
1	106
407	0
4	320
6	278
0	313
0	246
0	231
0	2128
177	2128
216	0
249	902
1	902
575	0
544	0
2	17
0	17
0	15
26	146
0	146
0	114
0	69
6	231
12	233
2	211
8	213
4	206
0	0
75	0
8	0
0	602
0	580
0	562
0	496
728	0
0	23
1	23
0	23
10	0
50	214
4	214
8	322
1	488
12	389
0	0
63	158
3	158
0	1790
0	1843
0	1769
0	1822
30	0
2000	0
76	890
2	890
46	0
0	0
0	0
322	0
1	13
0	13
20310	1
1007	1
227	0
0	1394
0	1276
2	959
0	944
0	0
3	0
9	55
0	55
0	48
258	0
1	0
12	174
62	174
4373	5
598	5
0	0
0	326
2	221
0	215
0	219
126	0
97	0
605	0
74	359
0	359
2	343
155	0
871	1
9	0
0	0
145	0
38	0
657	0
251	0
481	0
143	290
0	290
1167	0
1	0
0	0
67	278
13	278
5	41
0	41
17	90
2	90
746	0
0	7
0	7
17	157
12	157
0	146
81	0
3618	1
0	0
62	15
23	0
61	214
0	214
334	0
50	0
0	93
0	71
0	57
0	82
0	68
0	60
0	50
196	0
489	0
8120	1
374	694
2	694
4	51
2	51
0	45
1045	4726
26	4726
13	0
7	0
0	0
4318	1
71	160
0	160
7	0
4	0
0	0
0	0
59	0
41	454
0	454
184	0
193	0
0	99
0	122
17	119
0	110
0	100
0	399
3	399
2	228
7	0
7	0
0	0
287	0
0	194
15	194
0	39
8	39
7	140
0	172
44	172
252	615
0	615
1354	0
0	0
0	0
857	0
17	55
0	55
0	940
102	940
12	43
0	43
595	0
