UniqueCount	AmbigCount
296	0
0	198
12	124
0	123
1	127
3	4
0	99
37	99
5	1494
36	1494
1498	1
419	9133
2	9963
20	8446
98	309
1	309
0	1775
2	1464
4	1596
4657	1
48	591
1484	593
48	59
0	59
1976	1
56	0
0	3123
0	2967
15	2636
0	1
0	3
0	3
2	317
72	317
436	0
277	1
0	15
0	15
47	0
109	0
54	612
1	612
0	610
0	581
74	0
333	0
658	0
66	0
352	0
0	0
261	0
1950	1
0	0
0	0
2	17081
0	17759
0	17242
0	0
1	128
0	128
487	3
0	2
0	2
0	1
221	0
63	0
14	0
0	0
0	0
20	267
0	267
0	0
0	0
7	561
0	561
1659	0
709	0
0	0
0	3
0	3
0	0
2053	1
4	35
0	35
82	1234
1	1234
0	877
428	0
1193	0
0	151
0	141
0	136
2	54
0	0
559	1453
5	1453
4047	1
19	52
5	52
0	39
8	50
0	50
158	1388
0	1387
1	0
399	0
1343	0
3387	8963
0	8962
816	0
26	75
0	75
177	430
0	430
0	11
0	11
2	17
0	17
3	0
0	91
5	81
5	89
9	0
0	27
0	23
0	21
1	14
752	0
58	0
797	0
37	0
446	0
3	82
0	86
0	73
0	34
1	34
0	103
0	92
2	98
420	0
185	0
5720	2
557	887
1	887
5	0
556	0
421	0
17	0
0	254
0	142
0	233
0	121
1	161
0	61
0	66
0	60
658	0
0	825
0	425
0	653
3	350
0	445
1	367
1	323
0	383
451	0
166	0
0	777
0	851
0	761
0	744
2998	1
661	0
0	0
458	0
258	0
1	251
0	271
0	248
3	230
0	268
0	219
92	366
0	366
0	267
7	0
0	0
148	0
222	0
24	40
0	40
0	0
1	0
58	4481
13	4440
0	4533
160	431
3	431
13	424
104	563
1	563
996	2
701	947
15	947
0	884
876	1
1434	0
46	470
0	451
0	424
0	261
2912	0
95	52
15	52
557	0
91	0
3	25
0	25
5	2232
0	2475
7	2372
3	1731
1	1432
0	0
303	1
11	0
5	0
217	0
225	503
0	503
1901	2
191	0
196	0
1582	0
0	21
0	21
0	0
625	0
466	0
8	166
0	166
16	0
0	219
0	219
0	198
184	0
58	0
181	0
112	252
2	252
8	0
445	0
120	0
0	2
0	2
0	0
0	0
4	0
44	0
11	27
0	27
1210	0
0	0
9372	1
0	0
289	0
1	5
0	5
0	0
0	0
5302	0
2	0
0	0
1	1
0	1
0	0
0	172
0	73
1	165
6	0
0	19
4	19
1386	0
2	12
0	12
3997	7
0	37
0	38
0	46
0	45
0	43
0	42
0	31
99	0
0	327
47	327
10	0
37	0
0	0
271	0
1765	1
185	0
67	143
0	143
15	0
15142	3
0	0
114	0
533	0
3	0
316	0
575	0
1	0
344	1511
2	1512
6	1510
4	1028
0	1217
9	1162
119	1121
0	878
59	226
1	226
0	174
481	0
5	448
15	393
0	430
10	345
0	326
1	2657
263	2658
222	0
422	1046
2	1046
637	9
893	8
5	23
0	23
0	20
13	139
0	138
3	104
0	63
7	213
14	232
1	193
2	212
9	189
0	0
84	0
7	0
0	796
0	741
0	743
0	607
779	0
0	41
0	41
2	41
16	0
57	299
7	299
14	526
0	748
10	587
0	0
59	168
3	168
0	3252
0	3318
0	3223
0	3289
21	0
3403	0
80	1182
11	1182
80	0
0	0
0	0
349	0
18	17
2	17
17558	4
1645	0
281	0
0	1294
0	1194
2	951
1	928
1	0
19	0
10	51
4	51
0	38
291	0
1	0
5	190
57	190
5534	9
598	7
0	0
0	512
3	374
0	337
1	339
173	0
112	0
767	0
94	639
2	639
4	612
136	0
1040	0
2	0
0	0
339	0
75	0
1147	0
370	0
730	0
213	499
0	499
1114	0
1	0
0	0
62	454
10	454
11	77
0	76
14	121
2	121
417	0
1	1
0	1
20	174
10	174
0	141
136	0
3925	2
0	0
60	20
58	0
107	239
0	239
516	0
83	0
0	113
0	89
0	79
0	99
0	89
0	72
0	57
375	0
751	0
8395	4
441	814
15	814
0	41
5	41
0	36
1246	4542
43	4542
45	0
13	0
0	0
4685	8
53	247
0	247
3	0
4	0
0	0
0	0
121	0
62	690
0	690
207	0
209	0
1	106
0	138
14	131
0	122
0	114
0	365
0	365
0	188
23	0
25	0
1	0
222	0
0	267
24	267
0	26
4	26
7	139
0	186
33	186
285	900
0	900
1214	0
0	0
0	0
1094	1
12	71
0	71
0	1296
170	1296
17	35
0	35
728	0
188	20
172	0
0	168
0	144
0	135
0	125
0	103
733	0
0	11
0	11
0	11
0	7
0	0
3	0
181	0
190	0
0	213
32	213
101	0
1067	0
14	82
0	82
76	0
45	2296
0	2478
1	1822
0	1734
13	0
0	0
107	0
369	1
0	2520
0	2493
0	2670
96	163
0	163
42	2207
6	2207
7	0
31	277
0	277
2728	0
26	0
631	0
48	573
2	573
0	476
2292	2
410	0
42	197
5	197
217	620
0	620
1337	0
237	0
0	1912
3768	1915
142	969
0	969
130	262
0	262
0	2524
5	2658
0	2604
15	2470
14	2427
0	2068
367	0
17	0
210	0
1422	0
82	0
0	0
1	1
0	1
274	0
4407	0
14255	8
2920	3
2852	0
1547	0
1	1
0	1
0	0
0	0
0	0
2675	1
4	37
1	37
0	1
0	1
0	1
0	1369
86	1369
490	0
2079	1
3	0
395	388
7	388
104	0
5	0
433	1116
8	1116
3	0
92	447
6	447
14	0
25	0
502	0
0	0
322	0
17	0
885	1
0	0
3	69
0	69
17	0
0	0
1914	2
1454	0
10	70
0	70
598	0
46	106
0	104
461	625
0	625
32	0
105	0
1	0
1426	1
864	0
4444	3
1575	0
7264	190
0	414
3	316
0	423
51	0
335	1287
0	1287
1382	1
257	559
0	559
11	0
0	0
0	0
216	0
564	0
89	0
0	46
0	25
0	37
0	1134
115	987
0	159
1	136
3	136
624	0
31	432
5	432
301	528
17	528
258	0
181	258
0	258
0	270
0	368
0	183
0	281
6	74
40	73
0	46
0	0
6675	5
35	0
