UniqueCount	AmbigCount
1004	0
0	185
28	139
0	138
2	83
8	11
0	45
21	45
2	1568
37	1568
1043	0
115	2779
0	3010
29	2680
43	276
1	276
0	830
2	652
1	783
4448	0
6	289
741	289
13	28
0	28
1131	0
11	0
0	3648
0	3408
5	3000
0	2
0	2
0	2
1	322
92	322
275	0
63	0
0	28
0	28
19	0
91	0
27	579
3	579
0	577
0	531
33	0
474	0
487	0
27	0
355	0
0	0
169	0
1353	0
0	0
1	0
0	6457
0	6768
0	6583
0	0
4	163
0	163
620	2
0	3
0	3
0	1
238	0
45	0
4	2
0	0
0	2
10	92
0	92
0	0
0	0
25	640
0	640
719	0
601	0
0	0
0	7
0	7
0	0
26407	0
19	61
0	61
31	579
1	579
0	417
594	0
938	0
0	124
1	123
0	107
1	42
0	0
586	1854
5	1854
4247	0
27	56
1	56
0	46
13	34
0	34
65	703
0	703
0	0
156	0
1388	0
1117	3107
0	3107
521	0
27	73
0	73
268	819
0	819
1	5
0	5
1	3
0	3
19	0
0	63
3	62
2	62
1	0
0	33
0	31
0	29
0	21
482	0
25	0
1910	0
11	0
374	0
7	75
0	83
0	66
0	15
0	15
0	76
0	74
1	72
490	0
227	0
1759	0
364	472
0	472
1	0
572	0
260	0
5	0
0	121
0	70
0	108
0	57
0	75
0	53
0	59
0	48
338	0
0	913
1	507
0	728
8	209
0	291
1	264
0	235
0	244
420	0
341	0
0	525
0	573
0	512
0	500
2522	0
440	1
0	0
367	0
226	0
0	254
0	267
0	235
3	224
0	260
0	228
58	280
0	280
0	231
8	0
2	0
120	0
165	0
8	34
0	34
0	0
4	0
57	4646
10	4584
0	4698
123	703
4	702
13	695
120	630
1	630
615	0
396	763
14	763
0	722
481	0
1361	0
39	367
0	343
0	342
0	192
1616	0
34	27
13	27
328	0
19	0
1	2
0	2
1	1007
0	1124
5	1097
7	773
4	607
0	0
248	0
6	0
1	0
316	0
543	872
0	872
1691	1
161	0
95	0
1239	0
25	328
0	328
0	0
1094	0
359	0
108	1204
0	1204
22	0
0	254
0	254
0	219
307	0
21	0
41	0
180	314
0	314
7	0
341	0
99	1
0	0
0	0
0	0
0	0
6	0
51	0
6	39
0	39
1121	0
0	0
6161	0
0	0
801	0
1	2
0	2
0	0
0	0
5886	0
0	0
2	0
1	12
0	12
0	0
0	535
0	237
1	512
7	0
0	9
1	9
468	0
0	6
0	6
2340	0
3	49
0	50
0	63
0	62
0	64
0	63
0	38
97	0
0	315
44	315
1	0
16	0
0	0
111	0
751	1
234	0
103	188
0	188
21	0
8347	1
0	0
15	0
121	0
0	0
402	0
