UniqueCount	AmbigCount
497	0
0	178
12	105
0	105
0	112
1	11
0	42
18	42
1	2521
69	2521
1719	1
120	3233
1	3528
30	3071
63	161
0	161
0	1359
2	1139
1	1213
5197	0
46	764
1549	764
7	21
0	21
1835	0
45	0
0	2385
0	2292
2	2046
0	8
0	9
0	9
0	262
68	262
302	2
101	0
0	37
0	37
51	0
200	0
55	840
2	840
0	836
0	775
66	0
551	1
325	0
173	0
400	0
0	0
251	0
2597	0
0	0
1	0
0	7124
0	7391
0	7237
0	0
12	249
0	249
557	3
0	2
0	2
0	2
185	0
82	0
8	0
0	0
0	0
17	242
0	242
0	0
0	0
64	1776
0	1776
811	0
605	0
0	0
0	11
0	11
0	0
32184	9
33	88
0	88
36	827
2	827
0	586
1173	1
1523	0
0	334
0	306
0	273
5	127
4	0
715	1774
3	1774
5269	0
68	183
3	183
0	140
2	34
0	34
64	611
0	611
1	0
507	0
1823	0
600	1371
0	1371
813	0
10	84
0	84
412	1025
0	1025
2	15
0	15
3	13
0	13
146	0
0	63
3	59
3	63
2	0
0	44
0	37
1	34
0	26
732	0
47	0
1631	0
33	0
761	0
5	123
0	142
0	108
0	23
0	23
0	97
0	94
1	91
178	0
183	0
5854	1
431	752
0	752
15	0
905	0
601	1
20	0
0	162
0	89
0	143
0	70
0	108
1	79
1	82
0	77
823	1
0	1312
0	674
0	1097
4	252
0	328
1	282
0	237
0	282
312	0
599	0
0	606
0	681
0	602
0	586
3007	2
897	0
0	0
468	0
302	0
1	375
0	390
0	355
7	329
0	382
0	325
122	455
0	455
4	358
19	0
8	0
140	0
199	0
7	31
1	31
0	0
0	0
79	5684
17	5655
0	5732
345	1165
6	1162
39	1145
155	698
0	698
457	0
704	955
14	955
0	877
812	0
1986	0
36	379
1	358
0	330
0	194
2341	2
80	48
19	48
610	0
37	0
1	5
0	5
10	2694
0	2997
29	2929
7	2225
2	1832
0	0
527	0
58	0
2	0
462	0
812	1316
0	1316
1531	0
247	0
247	1
1736	1
33	431
0	431
0	0
1204	0
545	0
8	65
0	65
4	0
0	367
0	367
0	326
750	0
16	0
177	0
179	396
2	396
21	0
489	0
161	0
1	4
0	4
4	1
0	1
77	0
477	0
40	133
0	133
1283	0
0	0
8586	0
0	0
840	1
2	9
0	9
0	0
0	0
6960	0
1	0
0	0
5	10
0	10
0	0
0	58
0	26
0	57
0	0
0	8
1	8
151	0
2	8
0	8
543	0
2	39
0	44
0	52
0	47
0	51
0	46
0	36
88	0
0	516
57	516
5	0
30	0
0	0
115	0
1450	0
232	0
129	255
1	255
12	0
18760	0
0	0
19	0
126	0
1	0
370	0
1479	0
14	0
495	2213
4	2213
4	2213
5	1032
0	1222
4	1143
107	1113
8	864
69	253
0	253
0	188
1382	0
4	759
50	673
0	716
12	579
0	541
9	2535
262	2535
209	0
419	1199
0	1199
7674	137
16813	139
6	21
0	21
0	19
15	173
0	173
2	143
0	95
6	139
11	142
0	125
0	128
0	125
0	0
73	0
10	0
0	1065
0	1002
0	996
0	835
566	0
2	14
0	14
0	14
9	0
27	186
4	186
20	868
1	1174
19	917
1	0
41	139
1	139
0	2553
0	2611
0	2522
0	2580
20	0
2761	0
35	291
0	291
154	0
0	0
0	0
480	0
8	10
0	10
1860	0
1817	2
347	0
0	1383
0	1286
0	970
1	942
1	0
5	0
15	62
6	62
0	40
474	0
0	0
5	267
65	267
3321	7
519	6
0	0
0	1091
5	796
0	730
4	699
194	0
55	0
894	0
205	1375
4	1375
2	1317
70	0
1360	1
3	0
0	0
662	0
160	0
2017	0
605	1
689	0
249	467
0	467
1046	1
0	0
0	0
74	523
8	523
8	6
0	6
22	126
0	126
518	1
0	0
0	0
5	54
0	54
0	43
486	0
3767	0
0	0
69	22
77	0
67	235
0	235
2483	0
111	0
0	129
0	85
0	78
1	113
0	101
0	93
0	75
427	0
585	0
2666	0
131	204
2	204
1	33
1	33
0	29
567	2424
28	2424
76	0
9	0
0	0
3946	0
36	157
0	157
16	0
3	0
0	0
0	0
170	0
168	1461
0	1461
363	0
333	0
0	128
0	158
11	145
0	131
0	127
0	304
0	304
1	142
29	0
6	0
0	0
132	0
0	521
38	521
0	62
1	62
1	48
0	60
11	60
503	1441
0	1441
368	0
0	0
0	0
1331	0
143	532
0	532
0	1927
225	1927
15	24
0	24
630	0
222	22
274	0
0	434
1	356
0	361
0	317
0	273
557	0
0	19
0	17
0	16
0	13
0	0
37	0
115	0
287	0
0	211
16	211
101	0
1081	0
22	57
0	57
156	0
6	3229
0	3562
1	2700
0	2590
26	0
0	0
128	0
354	0
0	2252
0	2208
0	2368
113	247
0	247
57	2511
21	2511
1	0
32	260
0	260
4987	0
41	0
1042	0
94	640
1	640
0	533
2373	0
621	0
41	278
4	278
669	1788
0	1788
1006	0
412	0
1	2864
5088	2864
84	504
0	504
75	216
0	216
0	3469
5	3659
0	3588
10	3402
13	3347
0	2888
192	0
5	0
347	0
778	0
79	0
1	0
0	1
0	1
363	0
5162	1
20954	3
2382	0
4561	0
1282	0
0	0
0	0
0	0
0	0
2	0
3513	2
14	23
0	23
0	11
0	11
0	10
0	2187
116	2187
416	0
2082	0
3	0
403	406
5	406
97	0
1	0
1350	2651
1	2651
3	0
49	325
3	325
72	0
16	0
1262	1
1	0
332	0
45	0
537	0
0	0
11	77
0	77
8	0
1	0
897	0
2342	0
15	51
0	51
613	0
65	199
0	199
800	1103
0	1103
43	0
346	0
2	0
2487	0
883	0
3423	3
3616	1
8641	278
0	518
11	396
0	534
92	0
509	2183
0	2183
2081	0
539	1269
0	1269
17	0
0	0
0	0
423	0
864	1
126	0
0	49
0	38
0	26
0	1702
186	1059
0	679
0	567
2	567
437	0
55	536
3	536
286	516
7	516
523	0
245	352
4	352
0	1119
0	1493
0	723
0	1097
12	275
161	271
4	198
2	0
6079	2
14	0
40	183
5	183
0	0
0	0
0	0
409	0
311	0
39	0
421	0
0	0
0	0
17	252
0	161
11	575
128	0
43	1360
0	1360
0	0
1492	0
1272	0
398	0
155	904
0	904
320	961
0	962
1	891
9781	0
241	872
8	872
0	653
2	646
269	0
48	0
3	0
9	484
22	484
3	456
193	0
1417	0
1252	0
1	12
0	12
0	0
0	0
66	125
0	125
113	0
66	316
0	316
4	0
81	0
806	0
62	399
13	399
83	0
1692	1
180	182
0	182
5	0
0	477
44	477
25	81
0	81
540	0
72	0
8	0
2	0
0	317
58	317
240	0
58	0
273	842
0	842
0	0
2614	0
21	0
56	73
0	73
3	7
5	9
0	9
201	1704
0	1704
0	3930
166	3930
64	0
0	0
0	0
0	0
269	0
165	0
1	7
2	7
0	0
43	291
0	291
8	525
0	544
0	380
74	0
3	0
0	0
169	0
235	0
2571	0
216	0
0	90
7	90
0	50
0	48
0	38
0	36
710	0
44	44
1	44
3	0
129	0
18	71
0	71
21	0
33	0
4	0
0	72
6	62
0	62
0	62
0	587
0	523
1	347
0	414
0	0
1031	0
37	101
0	101
0	32
0	27
0	21
0	25
1061	0
257	0
514	0
11771	1
77	90
0	90
640	0
0	201
0	179
0	160
22	1621
63	1621
24	0
86	263
0	263
1858	0
0	0
0	0
0	667
0	487
4	596
4	562
14	99
3	99
0	93
0	94
60	1530
0	1530
10	33
17	33
0	0
5983	0
65	0
11	0
5	1
5018	3843
17	3843
3	0
210	0
21	213
1	213
526	0
57	94
0	94
77	0
172	0
166	573
0	573
0	431
0	0
3	706
43	706
1	0
0	0
108	0
163	0
46	718
33	718
0	0
0	0
14	1
17	0
286	0
0	2851
3	2663
0	2052
0	1715
197	697
0	697
375	487
0	487
4417	158
0	0
2345	1
396	0
1	0
0	0
0	0
185	0
0	0
1060	28
3	0
1	0
1	0
4	0
67	0
180	1658
0	1658
401	0
2091	0
1003	0
3971	0
2	19
0	19
14464	5
98	0
135	0
3402	0
739	0
83	0
5	265
0	265
106	0
9	0
348	0
60	0
2286	2
13	0
1212	2
420	0
774	2527
282	2527
8	47
0	47
265	1
35	99
0	99
9	181
112	164
0	181
4	159
0	131
330	931
0	923
2	931
184	0
481	1166
3	1166
70	0
284	3428
0	3428
18317	28197
0	28193
1947	0
1333	0
10	240
0	240
0	3002
0	3276
0	2374
344	0
130	0
0	7
0	7
2805	1
0	327
0	249
6	271
0	1773
104	1773
14	64
0	64
44	174
0	174
0	0
0	1544
6	1157
8	1446
3	1186
50	0
728	0
59	43
5	43
402	0
4	1570
30	1570
22	1568
1623	0
192	0
1	0
7	0
0	0
2	0
6461	2
1	273
0	120
0	86
0	201
0	48
0	153
1	0
54	0
0	0
394	0
8	2017
326	2211
11	2207
139	0
0	0
770	0
1369	0
67	300
1	300
0	0
0	0
0	1
0	1
557	0
1304	0
273	0
3072	5
2	2
0	2
42	0
1001	0
1889	0
0	147
22	147
20	0
125	0
0	1
0	1
5187	1
0	0
803	639
0	637
781	1
448	0
727	0
737	0
1301	0
210	0
4	17
2	17
520	1755
1	1755
31	0
6	26
0	26
0	26
910	1
523	5771
25	5765
0	5768
0	1
0	1
0	0
415	116
0	124
0	74
0	123
0	73
3225	0
372	0
2	377
0	377
0	159
1	143
0	147
0	152
0	146
36	0
51	0
612	1057
7	1057
475	0
83	100
1	100
164	0
0	1
0	1
652	846
2	0
0	0
21	1377
26	1339
0	0
20	0
79	0
1388	0
6	401
0	401
0	315
2185	1
2	0
15	0
11	0
41	878
3	878
3	659
157	0
1916	14
65	2
342	0
13	208
0	208
767	0
18	488
0	488
0	391
4	2291
0	2503
5	2344
0	1957
1	0
104	98
0	94
2118	486
0	0
0	0
0	0
0	0
0	0
0	0
108	939
0	939
125	580
0	580
7	0
443	3242
0	3242
3	0
88	0
224	0
0	89
0	60
0	63
0	34
0	0
754	0
4553	1
0	427
0	308
0	212
0	218
1171	0
0	0
2322	486
597	6
211	0
108	547
3	547
2	0
0	543
2	4
15	539
34	54
0	54
2	0
228	9187
0	9187
58	0
1	0
0	0
59	846
0	846
5905	46275
3779	30489
1	24655
5879	46206
37	71
0	71
250	0
516	2
58	180
1	180
173	0
704	975
2	975
286	0
0	0
202	0
610	0
0	3
0	3
0	579
28	579
480	1
2	825
4	825
0	0
41	115
0	115
2	0
101	1
0	1
348	1141
0	1141
2	0
32	433
1	244
1	434
0	211
1257	0
0	0
0	0
0	0
132	0
15	0
25	0
78	1
2061	0
11607	1
0	507
0	507
0	462
2	381
134	132
0	132
301	601
0	601
0	571
508	0
84	729
0	729
0	7
4	7
129	0
102	0
5	47
0	55
2	49
0	17
0	18
0	7
182	0
38	75
0	75
82	0
0	151
0	129
0	128
7509	2
823	0
24036	8
20	21
0	21
375	0
2026	1
65	2253
0	2253
484	0
8	0
0	1983
1	2156
0	2773
159	163
0	163
490	0
635	0
982	0
1466	0
220	0
2136	0
5123	4
40	212
1	212
0	179
1885	0
2258	2
890	1
804	1759
0	1759
0	1295
2007	0
59	0
0	1215
87	1215
398	0
17	1458
0	1458
0	32
0	46
0	45
1541	0
0	0
84	625
3	625
160	265
0	265
0	204
2	19
0	19
4	516
0	569
10	517
0	457
0	482
0	0
686	2
16	109
1	109
45	789
0	789
0	79
0	79
368	0
655	0
272	0
425	0
0	0
487	0
159	322
38	322
949	0
451	0
0	611
0	650
21	664
3	664
0	488
36	133
0	133
44	0
1731	0
4031	0
0	136
0	107
3	116
0	108
544	1
1	2020
1	2256
4	2020
3103	2
572	0
296	0
1400	0
934	0
0	0
82	0
17	108
0	108
1085	0
1084	0
0	0
156	11
164	11
28	1462
0	1462
3839	0
9	85
0	85
7	7
0	7
948	0
57	3879
36	3879
39	679
27	678
1	679
748	0
17	0
0	0
565	0
0	97
0	104
1	73
0	73
0	64
0	56
2	0
40	0
197	0
0	403
0	188
0	356
0	363
0	148
1298	0
6323	0
92	0
0	294
0	247
0	278
377	1
0	0
148	0
3	0
226	1462
0	1462
532	0
401	0
28	345
2	345
13055	4
413	0
309	192
1	192
3319	17740
3	17740
14468	28929
3	28923
4	0
0	0
27	0
62	0
0	2
0	2
40	0
73	0
16	149
0	149
1639	0
182	0
131	0
97	0
1	53
25	53
8	38
0	38
0	0
100	577
0	577
0	230
0	206
0	176
0	0
259	0
359	0
11	0
1	0
4430	1
12	1767
0	1767
0	1597
31	0
111	0
5593	74
61	0
61	0
6759	1
0	0
564	0
4983	3634
0	3634
222	0
11	0
191	465
5	465
0	0
143	0
8964	74
0	245
209	245
1	112
0	124
0	120
0	0
27	792
4	792
370	0
725	0
1180	0
6173	3
12272	0
0	5
0	5
31	0
1857	1
115	0
31	421
0	421
2	415
24	0
290	0
190	0
1680	0
385	625
0	625
919	0
2	0
1201	0
2	32
0	32
0	32
0	30
0	31
0	37
0	40
0	34
0	29
1007	0
25	410
0	410
763	0
8	0
14	245
0	380
