"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|CP002686.1_cds_AEE79809.1_28783",1977.41984461325,-0.0333528033358181,0.076168713061502,824.974105623977,6.18081126700998e-175,1.66844819341668e-170
"lcl|CP002687.1_cds_AEE83803.1_32522",1733.21565785759,1.94050024227041,0.207438116784311,646.867200081571,1.8021794031221e-136,2.4324015403939e-132
"lcl|CP002684.1_cds_AEE30763.1_4907",272.935532693078,0.741400728803773,0.14529985666492,643.178413703782,1.12682342746162e-135,1.01391572002996e-131
"lcl|CP002686.1_cds_AEE74920.1_22099",321.25488100738,-0.231953420299916,0.0948754296148402,627.069108929156,3.37275062421419e-132,2.27610075875095e-128
"lcl|CP002687.1_cds_AEE85318.1_34645",1378.9363657649,0.581387672430397,0.157130027700358,605.511734044172,1.50946014209782e-127,8.14927341515769e-124
"lcl|CP002686.1_cds_AEE75459.1_22834",2543.97791564736,-0.229566860691639,0.167528434666766,583.42730070946,8.75452081288611e-123,3.93865891371746e-119
"lcl|CP002685.1_cds_AEC08116.1_16395",354.299439817735,0.103637972774214,0.202938925730047,581.759395364549,2.00417332016776e-122,7.72866494351552e-119
"lcl|CP002684.1_cds_ANM61043.1_684",245.493466866976,-0.859375792110333,0.126049436063643,563.688907163877,1.57971892504598e-118,5.33036658283641e-115
"lcl|CP002686.1_cds_AEE74188.1_21072",820.603121012155,-0.362559051757513,0.0995398010212134,561.650954520567,4.34491037592081e-118,1.30318345208451e-114
"lcl|CP002688.1_cds_AED93429.1_41500",1727.49392613885,-1.16549786674175,0.114829882001124,550.007388417716,1.40675542093162e-115,3.79739558326281e-112
"lcl|CP002684.1_cds_AEE36067.1_12053",930.230245354545,-0.361359268042939,0.0633316366397259,539.485563873892,2.60788222784832e-113,6.39974298713979e-110
"lcl|CP002687.1_cds_AEE81999.1_29989",253.974537466597,0.800216332454212,0.142919732720454,533.943318713198,4.08164566535552e-112,9.18166192421724e-109
"lcl|CP002684.1_cds_AEE30286.1_4275",3002.35300404415,-0.971720299880506,0.132965568318657,518.512074910671,8.63597895672691e-109,1.79322781506066e-105
"lcl|CP002687.1_cds_AEE86389.1_36117",441.181263703703,-0.727270308769653,0.146621236526098,484.851583614388,1.54002178075035e-101,2.96938199639822e-98
"lcl|CP002684.1_cds_AEE29679.1_3465",1327.93323190976,0.495109687480433,0.0602527854653753,479.56224466034,2.12130966959889e-100,3.81750888141017e-97
"lcl|CP002687.1_cds_AEE85457.1_34845",426.273354040689,-0.146150655868466,0.13748043726034,477.587128494121,5.64839859862175e-100,9.52955448569971e-97
"lcl|CP002686.1_cds_ANM65191.1_25146",1313.85413718974,0.601105988256579,0.159969041042861,470.964715064351,1.50621441926888e-98,2.3916912961026e-95
