gene1	gene2	correlation	module1	module2
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE27484.1_374	1	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE27480.1_376	0.33697434959717953	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE27481.2_377	0.29725107800992995	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_ANM58449.1_925	0.3015406798379822	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE27876.1_956	0.27622219842294776	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE28598.1_2006	0.2959144789444878	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE30732.1_4869	0.21694705508776102	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE33308.1_8322	0.21804706663538495	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE33724.1_8890	0.1918587621643014	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE34553.1_10015	0.24541052518392953	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE35416.1_11170	0.33182828795545255	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE35480.1_11263	0.350308774210697	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE35697.1_11556	0.3028156565990425	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE35854.1_11760	0.28438735735671394	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002684.1_cds_AEE35875.1_11789	0.253438374778127	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC05791.1_13224	0.2630199739872975	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC05792.1_13225	0.33405696147942227	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC06634.1_14358	0.2964439326347248	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC07422.1_15408	0.29297448610038673	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC08089.1_16352	0.29769941190671584	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC08252.1_16571	0.22517678790680162	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC08913.1_17483	0.34728771843336737	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC09005.1_17609	0.2681601159206936	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC09449.1_18183	0.3075283109831451	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002685.1_cds_AEC10331.1_19417	0.297877629466787	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE73948.1_20757	0.24498659187324748	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE74024.1_20853	0.3516543050760268	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_ANM65439.1_24067	0.3319541106926031	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE76482.1_24241	0.2964473125275203	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE77485.1_25638	0.23597282363490246	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE77886.1_26160	0.2501941381818921	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE77887.1_26161	0.2548151607436184	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE78190.1_26598	0.3377486605016475	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002686.1_cds_AEE79882.1_28877	0.2953273543033707	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002687.1_cds_AEE83241.1_31693	0.20645213667646942	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002687.1_cds_AEE83616.1_32261	0.23792629345603297	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002687.1_cds_AEE86861.1_36756	0.2952917143971944	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED92076.1_39662	0.2628653216225751	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED92364.1_40043	0.2948499712817415	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED92366.1_40044	0.31047055207915125	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED92419.1_40112	0.25720770345486316	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED92989.1_40880	0.3167859081139172	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED93265.1_41269	0.2869804837255361	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED94331.1_42679	0.27077463716497785	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_ANM69110.1_42971	0.2509788989646055	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED94606.1_43054	0.3092287839063612	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED95263.1_43954	0.009493723819448099	pink	NA
lcl|CP002684.1_cds_AEE27484.1_374	lcl.CP002688.1_cds_AED97842.1_47420	0.280076068698208	pink	NA
lcl|CP002684.1_cds_AEE27480.1_376	lcl.CP002684.1_cds_AEE27484.1_374	0.33697434959717953	pink	NA
lcl|CP002684.1_cds_AEE27480.1_376	lcl.CP002684.1_cds_AEE27480.1_376	1	pink	NA
lcl|CP002684.1_cds_AEE27480.1_376	lcl.CP002684.1_cds_AEE27481.2_377	0.16235369340993563	pink	NA
lcl|CP002684.1_cds_AEE27480.1_376	lcl.CP002684.1_cds_ANM58449.1_925	0.3200120231299513	pink	NA
