gene_id	colors
lcl|CP002684.1_cds_AEE27226.1_14	yellow
lcl|CP002684.1_cds_ANM58172.1_15	yellow
lcl|CP002684.1_cds_AEE27244.1_36	green
lcl|CP002684.1_cds_ANM60250.1_100	turquoise
lcl|CP002684.1_cds_AEE27291.1_108	turquoise
lcl|CP002684.1_cds_AEE27297.1_115	turquoise
lcl|CP002684.1_cds_AEE27299.1_117	yellow
lcl|CP002684.1_cds_AEE27306.1_127	blue
lcl|CP002684.1_cds_ANM60699.1_133	yellow
lcl|CP002684.1_cds_AEE27308.1_134	brown
lcl|CP002684.1_cds_AEE27312.1_138	brown
lcl|CP002684.1_cds_AEE27313.1_139	brown
lcl|CP002684.1_cds_AEE27317.1_143	turquoise
lcl|CP002684.1_cds_ANM58087.1_267	turquoise
lcl|CP002684.1_cds_AEE27408.1_276	turquoise
lcl|CP002684.1_cds_ANM59069.1_283	turquoise
lcl|CP002684.1_cds_AEE27418.1_288	green
lcl|CP002684.1_cds_AEE27453.1_336	black
lcl|CP002684.1_cds_AEE27455.1_339	black
lcl|CP002684.1_cds_AEE27484.1_374	pink
lcl|CP002684.1_cds_AEE27480.1_376	pink
lcl|CP002684.1_cds_AEE27481.2_377	pink
lcl|CP002684.1_cds_AEE27485.1_378	green
lcl|CP002684.1_cds_AEE27496.1_393	blue
lcl|CP002684.1_cds_AEE27497.1_394	blue
lcl|CP002684.1_cds_AEE27527.1_444	black
lcl|CP002684.1_cds_AEE27528.1_445	green
lcl|CP002684.1_cds_AEE27534.1_452	brown
lcl|CP002684.1_cds_ANM60841.1_518	blue
lcl|CP002684.1_cds_AEE27583.1_528	turquoise
lcl|CP002684.1_cds_AEE27589.1_540	green
lcl|CP002684.1_cds_ANM60551.1_541	green
lcl|CP002684.1_cds_AEE27627.1_597	brown
lcl|CP002684.1_cds_ANM59833.1_668	turquoise
lcl|CP002684.1_cds_AEE27692.1_694	turquoise
lcl|CP002684.1_cds_ANM58680.1_698	turquoise
lcl|CP002684.1_cds_AEE27716.1_730	turquoise
lcl|CP002684.1_cds_AEE27741.1_764	yellow
lcl|CP002684.1_cds_AEE27745.1_768	yellow
lcl|CP002684.1_cds_AEE27779.1_815	blue
lcl|CP002684.1_cds_ANM58449.1_925	pink
lcl|CP002684.1_cds_AEE27876.1_956	pink
lcl|CP002684.1_cds_AEE27896.1_997	green
lcl|CP002684.1_cds_AEE27928.1_1054	yellow
lcl|CP002684.1_cds_AEE27989.1_1132	turquoise
lcl|CP002684.1_cds_AEE28035.1_1216	turquoise
lcl|CP002684.1_cds_AEE28050.1_1232	turquoise
lcl|CP002684.1_cds_AEE28064.1_1251	blue
lcl|CP002684.1_cds_AEE28071.1_1258	turquoise
lcl|CP002684.1_cds_AEE28080.1_1272	red
lcl|CP002684.1_cds_AEE28122.1_1330	turquoise
lcl|CP002684.1_cds_AEE28155.1_1375	turquoise
lcl|CP002684.1_cds_AEE28291.1_1566	blue
lcl|CP002684.1_cds_ANM58901.1_1580	turquoise
lcl|CP002684.1_cds_AEE28307.1_1584	turquoise
lcl|CP002684.1_cds_AEE28309.1_1586	green
lcl|CP002684.1_cds_AEE28362.1_1659	turquoise
lcl|CP002684.1_cds_AEE28367.1_1667	turquoise
lcl|CP002684.1_cds_AEE28370.1_1669	turquoise
lcl|CP002684.1_cds_AEE28378.1_1677	green
lcl|CP002684.1_cds_AEE28391.1_1692	red
lcl|CP002684.1_cds_AEE28393.1_1693	blue
lcl|CP002684.1_cds_AEE28432.1_1758	turquoise
lcl|CP002684.1_cds_ANM58099.1_1759	turquoise
lcl|CP002684.1_cds_ANM60634.1_1797	green
lcl|CP002684.1_cds_AEE28463.1_1802	red
lcl|CP002684.1_cds_AEE28488.1_1834	brown
lcl|CP002684.1_cds_AEE28522.1_1890	blue
lcl|CP002684.1_cds_ANM58500.1_1909	turquoise
lcl|CP002684.1_cds_AEE28537.1_1916	green
lcl|CP002684.1_cds_AEE28540.1_1919	turquoise
lcl|CP002684.1_cds_AEE28577.1_1973	turquoise
lcl|CP002684.1_cds_AEE28583.1_1985	brown
lcl|CP002684.1_cds_ANM59577.1_1987	red
lcl|CP002684.1_cds_AEE28598.1_2006	pink
lcl|CP002684.1_cds_ANM58154.1_2059	turquoise
lcl|CP002684.1_cds_AEE28653.1_2077	black
lcl|CP002684.1_cds_AEE28669.1_2103	brown
lcl|CP002684.1_cds_AEE28699.1_2157	turquoise
lcl|CP002684.1_cds_AEE28705.1_2164	green
lcl|CP002684.1_cds_AEE28719.1_2181	blue
lcl|CP002684.1_cds_AEE28733.1_2204	brown
lcl|CP002684.1_cds_ANM59395.1_2237	yellow
lcl|CP002684.1_cds_AEE28792.1_2282	brown
lcl|CP002684.1_cds_AEE28802.1_2292	blue
